Product ID,Product Name,Product Link,Overall Rating,Price,Reviews Count,Product Details,Seller Name
4obtb7,"Hipbrat, Red/ MatteLiquid/ LipstickPack of 1",https://www.meesho.com/hipbrat-red-matteliquid-lipstickpack-of-1/p/4obtb7,3.8,₹103,"19451 Ratings, 6351 Reviews","Name : Hipbrat, Red/ MatteLiquid/ LipstickPack of 1|Product Name : Hipbrat, Red/ MatteLiquid/ LipstickPack of 1|Brand Name : Hipbrat|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Pink Red Maroon|Type : Waterproof|Net Quantity (N) : 6|Add On : Eye Liner|4 LIPSTIC ANDEYELINER KAJAL PACK||Country of Origin : India",Not available
5k6fjf,Apple lipstick 2,https://www.meesho.com/apple-lipstick-2/p/5k6fjf,3.7,₹106,"10146 Ratings, 2525 Reviews","Name : Apple lipstick 2|Product Name : Apple lipstick 2|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Red Shade|Type : Waterproof|Net Quantity (N) : 1|Add On : Lip Gloss|Red Mahroom Apple lipstick,||Country of Origin : India",Not available
5b49ob,"MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)",https://www.meesho.com/mars-ultra-pigmented-super-soft-ultra-matte-lipstick-long-lasting-pack-of-4-shade-f-144-g/p/5b49ob,4.1,₹350,"23253 Ratings, 8905 Reviews","Name : MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)|Product Name : MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)|Brand Name : Mars|Finish : Matte|Color : Nude|Type : Liquid|Net Quantity (N) : 4|Mars Super Soft Creamy Matte Lipstick is the ultimate makeup kit essential, promising lips that look fuller and more luscious. This luxurious lipstick is available in lovely radiant & matte colors that are rich in moisturizing properties, keeping your lips looking fuller and creamier all day long. Enriched with Vitamin E and sunscreen agents with SPF 10, it nourishes and protects your lips from harmful UV rays. The super-soft formula glides on effortlessly, delivering flawless, even coverage for the perfect pout.||Choose from a dazzling array of 4 fabulous matte finishes, and pamper your lips with Mars Lipstick to enhance your beauty. The lipstick features a diamond-cut tip with the Mars logo printed on it for easy application and professional results. Mars Lipsticks are 100% vegetarian and suitable for daily use. Enjoy the benefits of a creamy matte lipstick enriched with Shea Butter for a smooth, long-lasting finish.||Perfect for your makeup kit, this lipstick provides both beauty and protection!|||||||Country of Origin : China",Not available
5utebe,Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10,https://www.meesho.com/ronzille-long-lasting-waterproof-non-transfer-liquid-matte-lipstick-set-of-10/p/5utebe,4.3,₹257,"86674 Ratings, 32852 Reviews","Name : Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10|Product Name : Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10|Brand Name : RONZILLE|Finish : Matte|Color : Multicolor|Type : Crayon|Net Quantity (N) : 10|lipstick for women, lipstick combo, lipstick liquid waterproof, waterproof lipstick, lipstick set, liquid lipstick, matte lipstick, lip liner with lipstick, nude lipstick, korean lipstick, lipstick palette, nude lipstick matte combo, Ronzille nude lipstick, nude pink lipstick, liquid wala lipstick, mars lipstick matte, brown lipstick matte, mini lipstick kit, Ronzille liquid lipstick, nude shade lipstick, maroon lipstick, Ronzille lipstick, brown lipstick, lipstick lipstick; waterproof lipstick liquid, maroon color lipstick, ronzille lipstick, ronzille, ronzille liquid lipstick, ronzille mini lipstick, lipstick ronzille, ronzille lipstick set, ronzille mini liquid lipstick kit, ronzille blush, ronzille lipstick combo, ronzille lip and cheek tint, ronzille long lasting lipstick, ronzille mini liquid lipstick, ronzille matte lipstick, ronzille long lasting, ronzille nude lipstick, ronzille fantastic lip and cheek, ronzille lip tint, ronzille tint, ronzille pocket matte lipstick set, ronzille mini bullet lipstick set, ronzille lip cheek tint, ronzille lipstick matte, ronzille pocket matte lipstick. ronzille mat lipstick, ronzille long lasting waterproof lipstick||Country of Origin : India",Not available
6jppoo,"RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)",https://www.meesho.com/red-edition-set-of-12-liquid-lipsticks-matte-finish-long-lasting-lipstick-combo-pack-muticolor-64-ml/p/6jppoo,3.9,₹197,"13710 Ratings, 4802 Reviews","Name : RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)|Product Name : RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Different Color|Type : Liquid|Net Quantity (N) : 1||Country of Origin : India",Not available
4oywba,"BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).",https://www.meesho.com/beauty-professional-color-sensational-liquid-lipstick-combo-pack-set-of-4-edition-mini-lipsticks-matte-finish-lip-color-edition-20-ml/p/4oywba,4.1,₹102,"12359 Ratings, 4882 Reviews","Name : BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).|Product Name : BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).|Brand Name : Vagons|Finish : Long Wearing & Transfer Resistant|Color : Nude|Type : Liquid|Net Quantity (N) : 4|Add On : Lip Gloss|BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).||Country of Origin : India",Not available
6t642z,Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose),https://www.meesho.com/seven-seas-2-in-1-lipstick-full-coverage-comfortable-2-in-1-lipstick-liquid-lipstick-rose/p/6t642z,4.2,₹146,"5232 Ratings, 2280 Reviews","Name : Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose)|Product Name : Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose)|Brand Name : Seven Seas|Finish : Matte|Color : Next to Nude|Type : Stick|Net Quantity (N) : 1|Seven Seas 2 in 1 Lip DUO lipstick + liquid lipstick is an intensely pigmented lipstick that gives you high coverage color. Try long lasting 2 in 1 lipstick for instant bold lips. Hard to fade, moisturized and silky formula. Lipstick, Makeup, Makeup Kit||Country of Origin : India",Not available
5vndv2,"BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8",https://www.meesho.com/brown-blush-matte-mini-combo-of-different-color-matteliquid-lipstickpack-of-8/p/5vndv2,4.0,₹121,"29103 Ratings, 13993 Reviews","Name : BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8|Product Name : BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8|Brand Name : Brown Blush|Finish : Matte|Color : Combo Of Different Color|Type : Liquid|Net Quantity (N) : 8|Add On : Lip Gloss||Country of Origin : India",Not available
529ktd,LIPSTIK PAKEOF 4 MATT,https://www.meesho.com/lipstik-pakeof-4-matt/p/529ktd,3.8,₹95,"6250 Ratings, 1522 Reviews",Name : LIPSTIK PAKEOF 4 MATT|Product Name : LIPSTIK PAKEOF 4 MATT|Finish : Long Wearing & Transfer Resistant|Color : Multicolor|Type : Stick|Net Quantity (N) : 4||Country of Origin : India,Not available
59mkx0,"Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)",https://www.meesho.com/ronzille-long-lasting-hydrating-mini-lipstick-pack-of-6-nude-edition6-g/p/59mkx0,3.7,₹130,"16242 Ratings, 6352 Reviews","Name : Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)|Product Name : Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)|Brand Name : RONZILLE|Finish : Matte|Color : Brown|Type : Liquid|Net Quantity (N) : 6|Makeup kit|Makeup|Lipstick|Ranzille Lipstick Shade Sampler Kit is a miniaturo pack of 6 shades specially curated for you to test out the stay, texture and find a perfect shade to look your best. It is made by cutting out unnecessary ingredients from the formula while making it as wholesome as possible without compromising on the 'glam factor These miniature lipsticks can also be used as a lip balm that nurtures, repairs, and moisturises the lips and makes them look plumped and beautiful at all times lipstick for women, lipstick combo, lipstick liquid waterproof, waterproof lipstick, lipstick set, liquid lipstick, matte lipstick, lip liner with lipstick, nude lipstick, korean lipstick, lipstick palette, nude lipstick matte combo, Ronzille nude lipstick, nude pink lipstick, liquid wala lipstick, mars lipstick matte, brown lipstick matte, mini lipstick kit, Ronzille liquid lipstick, nude shade lipstick, maroon lipstick, Ronzille lipstick, brown lipstick, lipstick lipstick; waterproof lipstick liquid, maroon color lipstick, ronzille lipstick, ronzille, ronzille liquid lipstick, ronzille mini lipstick, lipstick ronzille, ronzille lipstick set, ronzille mini liquid lipstick kit, ronzille blush, ronzille lipstick combo, ronzille lip and cheek tint, ronzille long lasting lipstick, ronzille mini liquid lipstick, ronzille matte lipstick, ronzille long lasting, ronzille nude lipstick, ro||Country of Origin : India",Not available
