product_id,product_url,title,price,rating,reviews_count
4obtb7,https://www.meesho.com/hipbrat-red-matteliquid-lipstickpack-of-1/p/4obtb7,"Hipbrat, Red/ MatteLiquid/ LipstickPack of 1",₹103,3.8,19451
5k6fjf,https://www.meesho.com/apple-lipstick-2/p/5k6fjf,Proffesional Attractive Lipsticks,₹106,3.7,10146
5b49ob,https://www.meesho.com/mars-ultra-pigmented-super-soft-ultra-matte-lipstick-long-lasting-pack-of-4-shade-f-144-g/p/5b49ob,Mars Lipsticks,₹350,4.1,23253
5utebe,https://www.meesho.com/ronzille-long-lasting-waterproof-non-transfer-liquid-matte-lipstick-set-of-10/p/5utebe,Sensational Long Stay Lipsticks,₹257,4.3,86674
6jppoo,https://www.meesho.com/red-edition-set-of-12-liquid-lipsticks-matte-finish-long-lasting-lipstick-combo-pack-muticolor-64-ml/p/6jppoo,Premium Collection Lipsticks,₹197,3.9,13710
4oywba,https://www.meesho.com/beauty-professional-color-sensational-liquid-lipstick-combo-pack-set-of-4-edition-mini-lipsticks-matte-finish-lip-color-edition-20-ml/p/4oywba,Proffesional Long Stay Lipsticks,₹102,4.1,12359
6t642z,https://www.meesho.com/seven-seas-2-in-1-lipstick-full-coverage-comfortable-2-in-1-lipstick-liquid-lipstick-rose/p/6t642z,Seven Seas Lip Duo 2 In 1 Lipstick,₹146,4.2,5232
5vndv2,https://www.meesho.com/brown-blush-matte-mini-combo-of-different-color-matteliquid-lipstickpack-of-8/p/5vndv2,Sensational Intense Lipsticks,₹121,4.0,29103
529ktd,https://www.meesho.com/lipstik-pakeof-4-matt/p/529ktd,Sensational Unique Lipsticks,₹95,3.8,6250
59mkx0,https://www.meesho.com/ronzille-long-lasting-hydrating-mini-lipstick-pack-of-6-nude-edition6-g/p/59mkx0,Proffesional Intense Lipsticks,₹130,3.7,16242
5gof6l,https://www.meesho.com/mila-beaute-long-wear-matte-lipstick-waterproof-smudge-proof-lipstick-combo-set-of-2-84g-shekh-hasina-fired-up/p/5gof6l,MILA BEAUTE Rich Matte Longwear Matte Lipstick Combo Set,₹174,4.0,2901
kxw6x,https://www.meesho.com/nattyu-red-matteliquid-lipstickpack-of-12/p/kxw6x,"NattyU, Red/ MatteLiquid/ LipstickPack of 12",₹206,4.1,18625
4oh414,https://www.meesho.com/ronzille-matte-liquid-lipstick-non-transfer-plus-lip-gloss-nude-edition-pack-of-4/p/4oh414,Proffesional Stylish Lipsticks,₹202,4.0,6485
6q16tj,https://www.meesho.com/mila-beaute-minis-pout-party-lipstick-long-lasting-highly-pigmented-12-mini-pocket-fit-lipstick-multicolor-set-b/p/6q16tj,MILA BEAUTE Minis Pout Party,₹187,4.2,5659
1lfhq6,https://www.meesho.com/ronzille-fantastic-lip-and-cheek-tint-pack-of-2-0406/p/1lfhq6,Lipstick,₹157,4.2,43419
7rubi9,https://www.meesho.com/12-pcs-lipstick-combo-of-multi-shades/p/7rubi9,Premium Unique Lipsticks,₹170,4.2,4232
5qy98v,https://www.meesho.com/redmehron-waterproof-long-lasting-lipsticks/p/5qy98v,Proffesional Long Stay Lipsticks,₹103,3.9,2656
irca6,https://www.meesho.com/colors-queen-color-stay-long-lasting-matte-lipstick-for-women-rich-maroon-21-g/p/irca6,Colors Queen Matte Lipsticks,₹213,4.1,10389
4bnvvm,https://www.meesho.com/colors-queen-color-it-all-lip-crayon-lipstick-non-transfer-lip-crayon-with-sharpener-plum-pick-35g/p/4bnvvm,Colors Queen Superior Rich Look Lipsticks,₹175,4.0,2998
445luw,https://www.meesho.com/red-maroon-waterproof-long-lasting-lipstick/p/445luw,Superior Intense Lipsticks,₹105,3.8,5116
6qwakb,https://www.meesho.com/ronzille-silky-matte-mini-liquid-lipsticks-set-of-10/p/6qwakb,Superior Intense Lipsticks,₹279,4.3,5812
6kqsvu,https://www.meesho.com/mila-beaute-minis-pout-party-lipstick-long-lasting-highly-pigmented-12-mini-pocket-fit-lipstick-multicolor-set-a/p/6kqsvu,MILA BEAUTE Minis Pout Party,₹189,4.1,3155
242gvp,https://www.meesho.com/ronzille-matte-liquid-lipstick-non-transfer-plus-lip-gloss-purple-edition-pack-of-4/p/242gvp,Lipstick,₹202,3.9,12227
1lnfeo,https://www.meesho.com/mars-ultra-pigmented-super-soft-ultra-matte-lipstick-long-lasting-pack-of-4-shade-d-144-g/p/1lnfeo,Mars Lipstick,₹346,4.1,15850
5kxuvt,https://www.meesho.com/marroon-combo-2-lipstick/p/5kxuvt,Sensational Enriched Lipsticks,₹95,4.0,7299
3drm9l,https://www.meesho.com/colors-queen-color-it-all-lip-crayon-lipstick-for-women-night-out-35g/p/3drm9l,Colors Queen Premium Rich Look Lipsticks,₹201,4.1,34523
56s5xc,https://www.meesho.com/lipgloss-lipstick/p/56s5xc,Premium Smudge Proof Lipsticks,₹104,3.9,4393
3vqzmj,https://www.meesho.com/red-shade-5in1-lipstick-with-free-ads-kajal/p/3vqzmj,Sensational Enriched Lipsticks,₹95,3.7,5419
xe5me,https://www.meesho.com/blushis-high-defination-smudge-proof-waterproof-long-lasting-liquid-matte-lipstick-non-transfer-common-colour-for-daily-use/p/xe5me,BLUSHIS Lipsticks,₹147,4.1,13324
6pcoj4,https://www.meesho.com/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter-and-vitamin-e-for-8-hour-long-stay-flakeproof-non-drying-intense-color-payoff-cranberry-crush-42g/p/6pcoj4,Mamaearth Superior Attractive Lipsticks,₹347,4.0,3007
5ejzf8,https://www.meesho.com/dazller-all-day-lipcolourmoisturizing-kokum-butternon-transfer-smudge-proof8hr-stayliquid-lipstick-for-womendlc026-broad-berry6gmaroon/p/5ejzf8,Dazller All Day Lipcolour,₹188,4.2,2240
5zgkbp,https://www.meesho.com/ronzille-lip-cheek-tint-long-lasting-matte/p/5zgkbp,Premium Enriched Lipsticks,₹116,4.1,10580
4bnvv8,https://www.meesho.com/colors-queen-color-it-all-lip-crayon-lipstick-non-transfer-lip-crayon-with-sharpener-dynamite-berry-35g/p/4bnvv8,Colors Queen Superior Intense Lipsticks,₹175,4.0,3179
1504gk,https://www.meesho.com/mila-beaute-long-wear-matte-lipstick-highly-pigmented-lipsticks-for-women-brown-lipstick-dolche-623/p/1504gk,MILA BEAUTE Rich Matte Longwear Lipstick,₹134,4.0,13152
7fm1xl,https://www.meesho.com/matte-finish-red-edition-liquid-lipsticks-4in1/p/7fm1xl,Classy Sindoor,₹93,3.8,9590
27b4wn,https://www.meesho.com/renee-madness-ph-lipstick-3gm-black-lipstick-with-pink-payoff-long-lasting-nourishment-enriched-with-vitamin-e-jojoba-oil-vegan-paraben-free/p/27b4wn,RENEE Lipsticks,₹396,4.1,9979
1335kh,https://www.meesho.com/ronzille-ayurvedic-creamy-set-for-lip-hydrating-moisturizing-suitable-for-all-skin-tones-longlasting-crayon-lipstick-smudgeproof-waterproof-pack-of-12/p/1335kh,Ronzille Matte Smudge Proof Lipsticks,₹179,4.0,80369
5b552k,https://www.meesho.com/mars-long-lasting-crayon-lipstick-up-to-12-hours-stay-matte-finish-waterproof-wont-smudge-wont-budge-lip-crayon-35-gm-girl-power-10/p/5b552k,Mars Lipsticks,₹244,4.2,9229
6pv1gx,https://www.meesho.com/seven-seas-matte-mood-non-transfer-crayon-lipstick-nudy-mauve-35g/p/6pv1gx,Seven Seas Matte Mood Crayon Lipstick,₹190,4.1,3252
5ejzf6,https://www.meesho.com/dazller-all-day-lipcolourmoisturizing-kokum-butterbrown-liquid-lipstick-for-womennon-transfer8hr-staydlc025-hazelnut-cup6g/p/5ejzf6,Dazller All Day Lipcolour,₹187,4.1,9261
5num9x,https://www.meesho.com/mila-beaute-matte-stick-lipstick-long-lasting-lipsticks-lipstick-for-women-lipstick-pack-of-1-manhattan-rose/p/5num9x,MILA BEAUTE Matte Lipstick,₹95,4.0,2111
2u1r73,https://www.meesho.com/mila-beaute-matte-lipstick-long-lasting-lipsticks-lipstick-for-women-42gm-each-lipstick-combo-pack-of-3-cloud-9-laroosh-glamorous/p/2u1r73,MILA BEAUTE Matte Lipstick Combo Set,₹225,4.2,18529
1blfrk,https://www.meesho.com/ronzille-pocket-mini-bullet-lipstick-set-of-12-shade-a/p/1blfrk,Lipstick,₹179,4.1,5531
4kbrvx,https://www.meesho.com/mila-beaute-long-stay-matte-lipstick-long-lasting-lipsticks-for-women-pink-lipstick-red-lipstick42g-each/p/4kbrvx,MILA BEAUTE Matte Lipstick,₹172,4.1,14210
6vedpl,https://www.meesho.com/waterproof-long-lasting-liquid-matte-lipsticks/p/6vedpl,Premium Smudge Proof Lipsticks,₹151,4.0,4123
3c1ykd,https://www.meesho.com/ronzille-long-stay-creamy-matte-lipstick-with-intense-colour-shade-01/p/3c1ykd,Proffesional Enriched Lipsticks,₹136,3.9,3443
157rai,https://www.meesho.com/ronzille-mini-bullet-lipstick-set-of-12-shade-a/p/157rai,Ronzille Sensational Long Stay Lipsticks,₹179,4.0,32133
1axxae,https://www.meesho.com/colors-queen-color-stay-long-lasting-matte-lipstick-for-women-magenta/p/1axxae,Colors Queen Check out this trending catalog,₹210,4.1,2023
2ef2nk,https://www.meesho.com/colors-queen-color-stay-long-lasting-matte-lipstick-for-women-nudit/p/2ef2nk,Colors QueenLipstick,₹219,3.9,2995
4x30o7,https://www.meesho.com/mamaearth-soft-matte-long-stay-lipsticks-with-jojoba-oil-vitamin-e-for-12-hour-long-stay-07-ruby-red-35-g/p/4x30o7,Mamaearth Soft Matte Long Stay Lipsticks with Jojoba Oil & Vitamin E for 12 Hour Long Stay - 07 Ruby Red - 3.5 g,₹341,4.1,2686
